ID,RAYON_CITY,RAYON,REPUB_KRAI,rayon_name,rayon,GOV_FIRE,g1_02,CENT_LAT,CENT_LON,govfire,GOV,govplus2,loggovplus2,GOV2,REB,rebplus2,logrebplus2,ELF,HET,POP,OIL,ELEVATION,RUSSIAN,FOREST,elf,num,polarize,Dominance,PROTEST,BLOODFEUD,EVNT_CNT,POP2001_02,EVNT1000,CHECH_DV,URB_AREA,PCT_URB,ELEV_MEAN,SH_RUSSIAN,PCT_FRST,DIST_TOHWY,LNEVNT1000
14,Ardonskiy,14,North Ossetia,,,,,4778552.14,446667.69,,46,48,1.681241237,46,3,5,0.698970004,0.29494,0.255251477,188.1875,0.125,448.5625,0,0.1875,0.29494,8,0,2,4,0,0,28831,0,0,23960000,6.5,447.83,13.92,0,10.635,-4.60517
15,Arzgirskiy,15,Stavropol Krai,,,,,5015713.81,443848.32,,2,4,0.602059991,2,4,6,0.77815125,0.401258,0.203665331,62.05882353,1,93.11764706,0.941176471,0,0.401258,12,0.640619992,2,0,0,0,28733,0,0,42220000,1.24,126.4,76.49,0,150.98,-4.60517
16,Babayurtovskiy,16,Dagestan,,,,,4828564.67,666459.27,,26,28,1.447158031,26,10,12,1.079181246,0.69618,0.182627049,53.93103448,0,-11.92241379,0.181034483,0.025862069,0.69618,12,0.731146328,1,3,0,20,41331,0.4839,0,8540000,0.25,-14.12,0.89,1.289728236,47.696,-0.70542
17,Baksanskiy,17,Kabardino-Balkaria,,,,,4839324.36,377160.26,,4,6,0.77815125,4,6,8,0.903089987,0.132897,0.443261443,423.8695652,0,513.826087,0.304347826,0.043478261,0.132897,9,0,3,1,0,3,114888,0.0261,0,64380000,6.43,577.38,4.65,8.628659476,9.821,-3.32146
18,Blagodarnenskiy,18,Stavropol Krai,,,,,4994542.22,386312.63,,1,3,0.477121255,1,1,3,0.477121255,0.274913,0.495753447,145.5384615,1,180.6923077,1,0,0.274913,12,0.522091372,3,0,0,36,66172,0.544,0,60530000,2.49,219.14,85.13,0.063492063,98.937,-0.59059
19,Botlikhinskiy,19,Dagestan,,,,,4730902.94,602170.48,,5,7,0.84509804,5,4,6,0.77815125,0.003988,1.230491328,45.8125,0.4375,1362,0,0,0.003988,9,0,3,2,0,60,50469,1.1888,0,0,0,1590.69,0.09,17.79859485,58.08,0.18132
20,BUDYENNOVSK,20,Stavropol Krai,,,,,4960236.56,432777.75,,1,3,0.477121255,1,1,3,0.477121255,0.259531,0.274855372,3067,1,108.5,1,0,0.259531,12,0.47147274,3,0,0,11,65687,0.1675,0,12970000,57.79,113.13,85.74,0,102.802,-1.72878
21,Budyennovskiy,21,Stavropol Krai,,,,,4954561.6,431689.84,,10,12,1.079181246,10,7,9,0.954242509,0.302047,0.351586183,101.8717949,0.948717949,117.4102564,1,0.025641026,0.302047,12,0.528047116,2,5,0,4,54085,0.074,0,50680000,1.65,155.3,83.28,0.151057402,100.36,-2.47694
22,BUYNAKSK,22,Dagestan,,,,,4742741.75,672918.44,,42,44,1.643452676,42,23,25,1.397940009,0.677475,0.090385437,10442,1,446,0,0,0.677475,12,0.78678458,1,4,0,52,61437,0.8464,0,7970000,39.3,481.3,0,7.692307692,26.544,-0.15502
23,Buynakskiy,23,Dagestan,,,,,4745960.09,669881.77,,10,12,1.079181246,10,4,6,0.77815125,0.535366,0.110992415,126.6909091,0.709090909,691.6,0,0.090909091,0.535366,12,0.808020056,2,3,0,211,65018,3.2453,0,2500000,0.14,781.14,0.22,20.642978,24.68,1.18028
24,Charodinskiy,24,Dagestan,,,,,4665145.14,646080.32,,0,2,0.301029996,0,0,2,0.301029996,0.031542,0.707294883,14.72413793,0,1973.068966,0,0.586206897,0.031542,8,0,3,0,0,0,11792,0,0,0,0,2657.45,0.1,16.8707483,105.862,-4.60517
25,Chegemskiy,25,Kabardino-Balkaria,,,,,4804741.78,359964.79,,31,33,1.51851394,31,14,16,1.204119983,0.423238,0.198118556,225.7826087,0,1213.565217,0,0.086956522,0.423238,9,0,2,1,0,44,68335,0.6439,0,31790000,2.12,1779.42,5.07,27.22620266,32.941,-0.4248
26,Cherkeskiy,26,Kabardino-Balkaria,,,,,4781073.94,372334.71,,3,5,0.698970004,3,3,5,0.698970004,0.494935,0.150631884,90.29166667,0,1111.083333,0,0.291666667,0.494935,7,0,2,0,0,2,25927,0.0771,0,18020000,0.81,2095.96,1.65,33.77345379,39.617,-2.4407
27,CHERKESSK,27,Karachaevo-Cherkessia,,,,,4900235.01,264875.42,,4,6,0.77815125,4,3,5,0.698970004,0.650048,0.318954988,2349,0,530,0,0,0.650048,8,0,1,1,0,23,116244,0.1979,0,3890000,11.11,538.61,56.09,0,42.926,-1.5707
28,Derbentskiy,28,Dagestan,,,,,4660825.78,764728.46,,0,2,0.301029996,0,2,4,0.602059991,0.608856,0.148339431,271.0666667,1,79.76666667,0,0,0.608856,12,0.748593496,1,0,0,4,86494,0.0462,0,5940000,0.76,127.64,0.75,10.21611002,109.775,-2.87884
29,Dakhadaevskiy,29,Dagestan,,,,,4662130.83,711286.46,,2,4,0.602059991,2,1,3,0.477121255,0.003987,1.206491328,197.7313433,0.313432836,1491.985075,0,0.089552239,0.003987,10,0,3,0,0,1,38359,0.0261,0,0,0,1605.84,0.06,39.43089431,91.801,-3.32146
30,DERBENT,30,Dagestan,,,,,4659083.61,771920.57,,18,20,1.301029996,18,9,11,1.041392685,0.762646,0.146667216,9697,1,9,0,0,0.762646,12,0.695505544,1,3,0,8,101031,0.0792,0,5140000,8.66,13.13,0,0,115.177,-2.41687
31,Digorskiy,31,North Ossetia,,,,,4774456.55,423187.8,,2,4,0.602059991,2,1,3,0.477121255,0.197756,0.381509323,294.5555556,0,605.4444444,0.111111111,0.222222222,0.197756,7,0,3,0,0,0,20625,0,0,21340000,3.61,730.75,8.69,62.69430052,21.993,-4.60517
32,Dokuparinskiy,32,Dagestan,,,,,4579806.97,741318.78,,0,2,0.301029996,0,0,2,0.301029996,0.124526,0.546192728,217.25,0,1285.583333,0,0,0.124526,9,0,3,0,0,1,14330,0.0698,0,0,0,2301.97,1.61,3.515625,177.389,-2.52823
33,Dzhayrakhskiy,33,Ingushetia,,,,,4736223.27,491122.08,,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.00E+00,1.00E-10,1.00E-10,8,2334,3.4276,0,0,0,2180.89,0,57.92079208,47.181,1.23477
34,Elbrusskiy,34,Kabardino-Balkaria,,,,,4806948,325082.05,,47,49,1.69019608,47,38,40,1.602059991,0.544159,0.236902609,936.6666667,0,1739.740741,0,0.111111111,0.544159,9,0,2,3,0,10,35968,0.278,0,2650000,0.14,2378.86,16.85,7.435254804,60.446,-1.24479
35,GEORGIEVSK,35,Stavropol Krai,,,,,4889795.45,377243.25,,0,2,0.301029996,0,0,2,0.301029996,0.312403,0.211582592,2907,0,302,1,0,0.312403,12,0.554808292,2,0,0,2,70575,0.0283,0,14370000,76.09,290.08,82.22,0,25.495,-3.26231
36,Georgievskiy,36,Stavropol Krai,,,,,4903147.65,376210.79,,11,13,1.113943352,11,0,2,0.301029996,0.389407,0.187736638,296.1764706,0.088235294,258.2352941,1,0,0.389407,12,0.6602649,2,0,0,4,91371,0.0438,0,53830000,2.78,292.98,77.14,1.92,28.487,-2.92248
37,Gergebilskiy,37,Dagestan,,,,,4709466.87,665048.89,,1,3,0.477121255,1,1,3,0.477121255,0.009963,1.062624511,71.69230769,0,1158.461538,0,0.230769231,0.009963,10,0,3,0,0,1,18366,0.0544,0,0,0,1250.8,0.09,20.86956522,58.023,-2.74264
38,Grachevskiy,38,Stavropol Krai,,,,,5001008.55,300620.63,,3,5,0.698970004,3,2,4,0.602059991,0.327806,0.247646344,77.93548387,0.967741935,258.7419355,1,0,0.327806,12,0.544980712,2,0,0,0,36110,0,0,20400000,1.15,289.53,81.48,0.860585198,63.217,-4.60517
39,Groznenskiy,39,Chechnya,,,,,4803564,547664.44,,2244,2246,3.351409752,90,750,752,2.876217841,0.252596,0.327467888,380.6724138,1,200.1206897,0.362068966,0.24137931,0.252596,8,0,3,121,10,665,92052,7.2242,1,28140000,1.88,214.64,0,5.046343975,14.849,1.97882
40,GROZNYY,40,Chechnya,,,,,4796619.08,551692.62,,67,69,1.838849091,67,9,11,1.041392685,0.083421,0.588225053,1324.75,1,150.5,0,0.5,0.083421,8,0,3,2,0,3993,67212,59.409,1,90840000,29.53,183.76,0,6.435643564,6.186,4.08461
41,Gudermesskiy,41,Chechnya,,,,,4798913.82,597152.49,,176,178,2.250420002,18,59,61,1.785329835,0.100686,0.473920396,247.7714286,1,77.11428571,0.371428571,0.057142857,0.100686,7,0,3,7,0,332,60321,5.5039,1,5990000,0.87,88.88,0,14.31767338,5.533,1.70727
42,Gumbetovskiy,42,Dagestan,,,,,4739202.92,627490.8,,1,3,0.477121255,1,0,2,0.301029996,0.005985,1.278700312,32.20833333,0.375,1274.125,0,0,0.005985,7,0,3,0,0,6,18177,0.3301,0,0,0,1551.05,0.04,9.030837004,46.844,-1.07852
43,Gunibskiy,43,Dagestan,,,,,4690592.81,658429.34,,4,6,0.77815125,4,2,4,0.602059991,0.07358,0.4718881,29.07407407,0,1393.444444,0,0.240740741,0.07358,11,0,3,0,0,2,25106,0.0797,0,0,0,1624.64,0.16,21.86732187,77.635,-2.41128
44,Ipatovskiy,44,Stavropol Krai,,,,,5072073.69,317546.95,,36,38,1.579783597,36,18,20,1.301029996,0.207689,0.668977451,66.75342466,1,107.1232877,0.97260274,0.01369863,0.207689,12,0.422361204,3,1,1,0,69268,0,0,55240000,1.37,117.91,88.95,0.922013062,134.703,-4.60517
45,Irafskiy,45,North Ossetia,,,,,4762513.87,399615.69,,0,2,0.301029996,0,0,2,0.301029996,0.076277,0.712225304,49.62162162,0,1267.72973,0,0.162162162,0.076277,8,0,3,0,0,1,15708,0.0637,0,16750000,1.23,1967.6,1.39,36.37400228,41.421,-2.60775
46,Itum-Kalinskiy,46,Chechnya,,,,,4727649.06,527481.07,,313,315,2.498310554,31,83,85,1.929418926,0.515583,0.158035156,1.100917431,0.018348624,1524.174312,0,0.688073394,0.515583,8,0,2,12,2,190,3000,63.3333,1,0,0,2165.91,0,64.42516269,59.317,4.14857
47,IZBERBASH,47,Dagestan,,,,,4716937.07,735065.75,,1,3,0.477121255,1,3,5,0.698970004,0.542273,0.176017471,3874,1,-7.5,0,0,0.542273,12,0.704847036,2,0,0,5,40987,0.122,0,3170000,12.91,5,5.08,0,46.619,-2.02495
48,Izobilnenskiy,48,Stavropol Krai,,,,,5025423.44,238923.73,,25,27,1.431363764,25,24,26,1.414973348,0.194332,0.484983873,129.2826087,0.913043478,200.8478261,1,0.043478261,0.194332,12,0.37364052,3,4,0,1,101980,0.0098,0,39170000,1.98,211.08,89.73,1.405152225,65.116,-3.92207
49,Karabudakhkentskiy,49,Dagestan,,,,,4727191.31,708119.47,,24,26,1.414973348,24,11,13,1.113943352,0.475383,0.053037485,153.7179487,0.923076923,270.8717949,0,0.051282051,0.475383,11,0,2,1,0,11,60620,0.1815,0,2220000,0.15,483.79,0.18,15.93582888,28.404,-1.65287
50,KARABULAK,50,Ingushetia,,,,,4795145.9,491110.85,,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.00E+00,1.00E-10,1.00E-10,58,27700,2.0939,0,4110000,29.44,421.72,0,0,2.287,0.74379
51,KARACHAEVSK,51,Karachaevo-Cherkessia,,,,,4834276.14,247003.54,,0,2,0.301029996,0,1,3,0.477121255,0.506317,0.185096319,2056,0,871.3333333,0,0.666666667,0.506317,8,0,2,0,0,2,37393,0.0535,0,7470000,22.84,1181.37,23,57.14285714,106.028,-2.75672
52,Karachaevskiy,52,Karachaevo-Cherkessia,,,,,4820228.01,257863.99,,22,24,1.380211242,22,6,8,0.903089987,0.282822,0.445344227,132.3333333,0,1282.222222,0,0.583333333,0.282822,8,0,3,2,1,4,26255,0.1524,0,10890000,0.28,2176.35,4.26,36.77979479,105.009,-1.81769
53,KASPIYSK,53,Dagestan,,,,,4751643.82,713751.87,,9,11,1.041392685,9,14,16,1.204119983,0.854592,0.351768676,9444,1,-15,0,0,0.854592,12,0.504407064,1,0,0,22,77650,0.2833,0,7720000,30.71,-15.87,13.17,0,7.98,-1.22656
54,Kayakentskiy,54,Dagestan,,,,,4694233.49,737606.9,,22,24,1.380211242,22,6,8,0.903089987,0.534284,0.013616535,482.5789474,1,171.6842105,0,0.105263158,0.534284,12,0.935628776,1,1,0,3,52739,0.0569,0,410000,0.06,212.91,0.26,9.027777778,67.46,-2.70456
55,Kaytagskiy,55,Dagestan,,,,,4664039.72,734063.83,,6,8,0.903089987,6,2,4,0.602059991,0.176654,0.241228424,217.0408163,0.836734694,769.6326531,0,0.102040816,0.176654,12,0.34130672,3,0,0,0,26870,0,0,0,0,798.17,0.19,59.1611479,94.194,-4.60517
56,Kazbekovskiy,56,Dagestan,,,,,4764281.77,635346.92,,2,4,0.602059991,2,0,2,0.301029996,0.212135,0.21778247,176.55,1,800.75,0,0.25,0.212135,11,0,3,0,0,13,33140,0.3923,0,2170000,0.38,946.17,0.11,67.38544474,20.75,-0.91056
57,Khabezskiy,57,Karachaevo-Cherkessia,,,,,4888469.46,243861.96,,0,2,0.301029996,0,0,2,0.301029996,0.318834,0.255574981,197.4666667,0,610.8,0.066666667,0,0.318834,8,0,2,0,0,1,31885,0.0314,0,8060000,1.23,827.3,1.11,4.295942721,60.291,-3.18447
58,KHASAVYURT,58,Dagestan,,,,,4789881.82,628120.12,,109,111,2.045322979,10,60,62,1.792391689,0.750276,0.194071089,8594,1,125,0,0,0.750276,12,0.720811256,1,7,2,180,121817,1.4776,0,12130000,40.5,132.27,3.25,0,1.026,0.39716
59,Khasavyurtovskiy,59,Dagestan,,,,,4801127.83,632801.61,,79,81,1.908485019,79,38,40,1.602059991,0.733065,0.177124511,252.1011236,0.606741573,53.88764045,0,0.033707865,0.733065,12,0.754151812,1,2,4,102,125454,0.813,0,22250000,1.55,67.59,0.24,3.540772532,14.896,-0.1948
60,Khivskiy,60,Dagestan,,,,,4629997.17,743227.21,,0,2,0.301029996,0,0,2,0.301029996,0.494418,0.037300243,120.5227273,0.386363636,1124.590909,0,0,0.494418,11,0,1,0,0,1,20747,0.0482,0,0,0,1303.17,0.11,58.40978593,129.175,-2.84387
61,Khunzakhskiy,61,Dagestan,,,,,4715000.38,636369.84,,0,2,0.301029996,0,0,2,0.301029996,0.027697,0.753013068,80.27083333,0,1580.145833,0,0.020833333,0.027697,9,0,3,0,0,5,30203,0.1655,0,0,0,1773.27,1,11.01694915,67.267,-1.74012
62,KISLOVODSK,62,Stavropol Krai,,,,,4863089.3,317301.27,,10,12,1.079181246,10,3,5,0.698970004,0.489031,0.22332177,448.4444444,0,950,0.888888889,0.111111111,0.489031,12,0.720019428,2,1,0,0,135288,0,0,9040000,10.49,975.57,70.45,1.724137931,31.837,-4.60517
63,KIZILYURT,63,Dagestan,,,,,4783972.05,649109.18,,48,50,1.698970004,48,10,12,1.079181246,0.483805,0.189076526,2862,1,53.5,0,0,0.483805,12,0.674843036,2,2,1,8,47679,0.1678,0,3600000,5.63,90.9,2.82,0,2.134,-1.7271
64,Kizilyurtovskiy,64,Dagestan,,,,,4787165.34,657651.17,,14,16,1.204119983,14,3,5,0.698970004,0.305046,0.193273494,290.8064516,0.903225806,72.74193548,0,0.290322581,0.305046,12,0.527566944,2,0,0,3,70440,0.0426,0,1420000,0.3,84.61,0,2.272727273,7.684,-2.94504
65,KIZLYAR,65,Dagestan,,,,,4858852.08,637666.66,,15,17,1.230448921,15,18,20,1.301029996,0.714372,0.202214779,4488,0,-6,1,0,0.714372,12,0.6918384,1,5,0,15,51024,0.294,0,11790000,36.92,-8.3,46.14,0,68.81,-1.19073
66,Kizlyarskiy,66,Dagestan,,,,,4873073.71,663098.52,,14,16,1.204119983,14,2,4,0.602059991,0.767292,0.200843918,90.47826087,0,-16.54736842,0.894736842,0.021052632,0.767292,12,0.64207356,1,1,0,16,57748,0.2771,0,6790000,0.22,-20.57,19.01,1.74563591,88.748,-1.24792
67,Kochubeevskiy,67,Stavropol Krai,,,,,4947054.71,253343.17,,1,3,0.477121255,1,0,2,0.301029996,0.257437,0.502155088,108.7011494,1,385.4597701,0.965517241,0.011494253,0.257437,12,0.474040316,3,0,0,4,81609,0.049,0,47390000,2.03,427.61,86.13,3.364116095,11.522,-2.83022
68,Kulinskiy,68,Dagestan,,,,,4649894.92,685023.19,,1,3,0.477121255,1,0,2,0.301029996,0.015906,0.944242783,42.73333333,0,1885.733333,0,0,0.015906,7,0,3,2,0,0,10760,0,0,0,0,2542.56,0.13,5.200945626,105.753,-4.60517
69,Kumtorkalinskiy,69,Dagestan,,,,,4781424.47,680688.83,,34,36,1.556302501,34,12,14,1.146128036,0.57551,0.083365494,81.66666667,0.916666667,43.02777778,0,0.138888889,0.57551,12,0.789900792,2,1,0,8,21053,0.38,0,0,0,64.58,0.71,0.968523002,12.877,-0.94161
70,Kurakhskiy,70,Dagestan,,,,,4609883.81,731788.37,,0,2,0.301029996,0,0,2,0.301029996,0.02773,0.798325755,118.6153846,0,1621.653846,0,0,0.02773,9,0,3,0,0,0,15206,0,0,0,0,1891.03,0.13,18.45493562,146.344,-4.60517
71,Kurskiy,71,Stavropol Krai,,,,,4871010.33,489847.57,,79,81,1.908485019,79,42,44,1.643452676,0.707497,0.214408778,68.06060606,0.98989899,141.9191919,0.939393939,0,0.707497,12,0.738029404,1,1,0,12,52100,0.2303,0,22560000,0.6,127.66,51.53,0.698438784,77.265,-1.42587
72,Lakskiy,72,Dagestan,,,,,4664952.94,670907.56,,2,4,0.602059991,2,1,3,0.477121255,0.079702,0.517068479,31.65909091,0,1636.977273,0,0.090909091,0.079702,12,0.151247704,3,0,0,0,12382,0,0,0,0,2316.55,0.11,8.71459695,95.005,-4.60517
73,LERMONTOV,73,Stavropol Krai,,,,,4885255.22,339063.93,,5,7,0.84509804,5,0,2,0.301029996,0.308143,0.467256637,4280,0,664,1,0,0.308143,12,0.574863868,2,0,0,0,25063,0,0,3010000,9.38,775.43,83.08,27.77777778,6.215,-4.60517
74,Levashinskiy,74,Dagestan,,,,,4701434.51,688573.83,,13,15,1.176091259,13,1,3,0.477121255,0.357727,0.12837957,82.55128205,0.371794872,1323.282051,0,0.025641026,0.357727,10,0,2,0,0,7,64371,0.1087,0,1330000,0.16,1422.58,0.08,1.142857143,55.454,-2.13116
75,Levokumskiy,75,Stavropol Krai,,,,,4984525.25,494560.69,,5,7,0.84509804,5,0,2,0.301029996,0.422216,0.120090405,111.4411765,1,49.91176471,0.970588235,0,0.422216,12,0.710610688,2,0,0,1,44167,0.0226,0,34070000,0.72,60.69,73.9,0,166.362,-3.42344
76,Magamkentskiy,76,Dagestan,,,,,4616732.36,774766.87,,5,7,0.84509804,5,4,6,0.77815125,0.083722,0.56728296,199.775,0.575,288.95,0,0.1,0.083722,12,0.159218312,3,0,0,20,58694,0.3408,0,0,0,476.24,1.67,16.46778043,154.335,-1.04754
77,MAGAS,77,Ingushetia,,,,,4781153.61,484408.1,,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,2,0.301029996,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,1.00E-10,0.00E+00,1.00E-10,1.00E-10,0,275,0,0,180000,7.18,545.7,0,0,3.087,-4.60517
78,MAKHACHKALA,78,Dagestan,,,,,4805520.62,704521.59,,139,141,2.149219113,14,84,86,1.934498451,0.839015,0.297293183,1079.181818,0.818181818,17.22727273,0.090909091,0.045454545,0.839015,12,0.539224484,1,34,2,276,545258,0.5062,0,25630000,3.82,8.12,9.1,3.016241299,42.971,-0.66126
79,MALGOBEK,79,Ingushetia,,,,,4817726.11,466744.62,,101,103,2.012837225,10,30,32,1.505149978,0.304597,0.349583516,460,1,368,0,0,0.304597,4,0,2,8,0,0,53100,0,0,0,0,372.59,0,0,29.466,-4.60517
80,Malgobekskiy,80,Ingushetia,,,,,4814526.32,474436.21,,48,50,1.698970004,48,20,22,1.342422681,0.399319,0.292881729,1121.16,1,431.36,0.12,0,0.399319,4,0,2,1,0,83,37128,2.2355,0,14810000,2.22,429.5,0,15.31322506,25.246,0.80893
81,Malokarachaevskiy,81,Karachaevo-Cherkessia,,,,,4852956.83,295050.43,,6,8,0.903089987,6,3,5,0.698970004,0.274395,0.351229457,291.3333333,0,1231.133333,0,0.066666667,0.274395,8,0,3,0,0,6,39456,0.1521,0,10540000,0.77,1666.96,2.75,1.820250284,56.953,-1.81954
82,Mayskiy,82,Kabardino-Balkaria,,,,,4828340.79,423876.56,,1,3,0.477121255,1,5,7,0.84509804,0.382405,0.396101521,130.9473684,1,220.5789474,0.578947368,0.421052632,0.382405,9,0,2,4,0,0,40051,0,0,16150000,4.1,225.1,78.25,1.587301587,23.263,-4.60517
83,MINERALNYYE VODY,83,Stavropol Krai,,,,,4896330.01,350261.08,,4,6,0.77815125,4,0,2,0.301029996,0.474905,0.362292175,2614.2,0.2,300.2,1,0,0.474905,12,0.769106796,2,0,0,17,89051,0.1909,0,14470000,31.25,334.12,72.21,0,1.141,-1.60495
84,Mineralovodskiy,84,Stavropol Krai,,,,,4911973.62,337907.72,,28,30,1.477121255,28,13,15,1.176091259,0.478033,0.283307631,109.9555556,0.788888889,374.8666667,0.955555556,0,0.478033,12,0.6777331,2,4,0,2,46626,0.0429,0,25050000,1.74,395.22,71.36,0.64171123,9.645,-2.93935
85,Mozdokskiy,85,North Ossetia,,,,,4837600.54,465987.89,,34,36,1.556302501,34,21,23,1.361727836,0.674243,0.320719619,200.0952381,1,216.6904762,0.428571429,0.023809524,0.674243,8,0,1,1,0,12,88634,0.1354,0,28270000,2.65,190.72,54.25,4.454022989,45.987,-1.92827
86,Nadterechnyy,86,Chechnya,,,,,4826305.2,511539.14,,76,78,1.892094603,76,41,43,1.633468456,0.041446,0.819994012,258.2272727,1,198.9545455,0.181818182,0,0.041446,8,0,3,5,0,108,45785,2.3589,1,21360000,2.37,195.78,0,0.854700855,34.916,0.86243
87,NALCHIK,87,Kabardino-Balkaria,,,,,4814772.04,387156.79,,96,98,1.991226076,96,155,157,2.195899652,0.67595,0.182947103,1310.5,0,525.75,0,0,0.67595,9,0,1,44,0,93,300392,0.3096,0,34500000,24.76,533.3,29.45,18.88888889,4.151,-1.14069
88,Narzanovskiy,88,Ingushetia,,,,,4790159.22,483027.06,,641,643,2.808210973,64,214,216,2.334453751,0.237843,0.39491798,363.3376623,0.324675325,1270.831169,0,0.324675325,0.237843,3,0,3,162,6,299,61963,4.8255,0,26220000,4.24,609.47,0,19.95012469,8.104,1.57598
89,Naurskiy,89,Chechnya,,,,,4846613.76,538237.85,,51,53,1.72427587,51,16,18,1.255272505,0.317748,0.282593686,102.48,0.76,80.28,0.72,0.06,0.317748,8,0,2,2,1,144,37329,3.8576,1,16160000,0.74,81.71,0,0.424929178,53.743,1.35263
